"long","lat","group","order","region","subregion"
-81.0391464233398,35.0592842102051,39,9602,"north carolina","main"
-81.0563430786133,35.0822029113770,39,9603,"north carolina","main"
-81.0563430786133,35.0993957519531,39,9604,"north carolina","main"
-81.0448837280273,35.1108551025391,39,9605,"north carolina","main"
-81.0276870727539,35.1337738037109,39,9606,"north carolina","main"
-81.0219650268555,35.1624183654785,39,9607,"north carolina","main"
-81.3256301879883,35.1738777160645,39,9608,"north carolina","main"
-81.365737915039,35.1738777160645,39,9609,"north carolina","main"
-81.7725372314453,35.1910667419434,39,9610,"north carolina","main"
-81.8699417114258,35.1910667419434,39,9611,"north carolina","main"
-81.9845275878906,35.1967964172363,39,9612,"north carolina","main"
-82.2194366455078,35.1967964172363,39,9613,"north carolina","main"
-82.276741027832,35.1967964172363,39,9614,"north carolina","main"
-82.3168487548828,35.1910667419434,39,9615,"north carolina","main"
-82.3626861572266,35.1967964172363,39,9616,"north carolina","main"
-82.3798751831055,35.1967964172363,39,9617,"north carolina","main"
-82.4027862548828,35.2082557678223,39,9618,"north carolina","main"
-82.4085235595703,35.2082557678223,39,9619,"north carolina","main"
-82.4428939819336,35.1738777160645,39,9620,"north carolina","main"
-82.4772720336914,35.1853370666504,39,9621,"north carolina","main"
-82.5001983642578,35.1738777160645,39,9622,"north carolina","main"
-82.5918655395508,35.1395034790039,39,9623,"north carolina","main"
-82.6434326171875,35.1280403137207,39,9624,"north carolina","main"
-82.6720733642578,35.1280403137207,39,9625,"north carolina","main"
-82.6949996948242,35.1337738037109,39,9626,"north carolina","main"
-82.7007293701172,35.116584777832,39,9627,"north carolina","main"
-82.7007293701172,35.0993957519531,39,9628,"north carolina","main"
-82.7522964477539,35.0764770507812,39,9629,"north carolina","main"
-82.7694854736328,35.0707473754883,39,9630,"north carolina","main"
-82.7866744995117,35.0822029113770,39,9631,"north carolina","main"
-82.8038558959961,35.0822029113770,39,9632,"north carolina","main"
-82.8668899536133,35.0650177001953,39,9633,"north carolina","main"
-82.9872055053711,35.0249099731445,39,9634,"north carolina","main"
-83.00439453125,35.0191802978516,39,9635,"north carolina","main"
-83.1075286865234,34.9905319213867,39,9636,"north carolina","main"
-83.1361770629883,34.9962654113770,39,9637,"north carolina","main"
-83.5143280029297,34.9905319213867,39,9638,"north carolina","main"
